date,min,max,pm25,q1,q3,stdev,count
2020-11-20T00:00:00.000Z,0.2,15.27,2.4,0.6,4.3,3.617,372
2020-11-21T00:00:00.000Z,0.1,2.95,1.2,0.8,1.62,0.643,308
2020-11-22T00:00:00.000Z,0.8,8.98,2.19,1.3,4.97,2.064,306
2020-11-23T00:00:00.000Z,2.22,22.75,5.8,5.03,7.47,5.039,275
2020-11-24T00:00:00.000Z,9.1,47.1,14.4,11.8,18.92,9.814,287
2020-11-25T00:00:00.000Z,2.72,74.9,15.84,11.18,29.92,12.225,302
2020-11-26T00:00:00.000Z,7.2,39.67,16.72,13.32,23.48,8.029,290
2020-11-27T00:00:00.000Z,4.34,36.65,19.3,16.71,22.88,7.564,276
2020-11-28T00:00:00.000Z,2.65,33.78,9.25,6.36,24.41,9.859,285
2020-11-29T00:00:00.000Z,2.27,24,10.38,4.15,12.17,5.337,281
2020-11-30T00:00:00.000Z,1.9,19.85,4.92,4.47,7.13,4.405,254
2020-12-01T00:00:00.000Z,1.63,37.08,7.27,4.62,12.17,4.502,248
2020-12-02T00:00:00.000Z,0.8,7.3,2.1,1.63,2.9,1.192,275
2020-12-03T00:00:00.000Z,0.6,21.6,6.07,1.9,8.25,4.2,243
2020-12-04T00:00:00.000Z,1,27.42,3.45,2.35,17.32,9.008,267
2020-12-05T00:00:00.000Z,1.6,6.95,2.7,2.34,3.4,0.755,257
2020-12-06T00:00:00.000Z,0.4,11.8,1.38,0.95,4.28,3.089,343
2020-12-07T00:00:00.000Z,0.2,6.7,1.5,1.02,2.15,0.872,290
2020-12-08T00:00:00.000Z,0.6,8.07,2.2,1.52,2.95,1.043,283
2020-12-09T00:00:00.000Z,0.17,6.97,1.33,0.9,3.03,1.418,255
2020-12-10T00:00:00.000Z,0.7,7.88,1.95,1.5,2.58,1.071,264
2020-12-11T00:00:00.000Z,0.82,16.25,7.25,3.61,9.89,3.578,317
2020-12-12T00:00:00.000Z,1.8,21.38,11.65,7.63,13.93,4.945,319
2020-12-13T00:00:00.000Z,1.12,13.68,6.45,3.1,10.45,3.699,303
2020-12-14T00:00:00.000Z,1.42,20.27,4.8,3.7,7.03,3.793,286
2020-12-15T00:00:00.000Z,2.83,47.47,12.23,6.14,25.34,13.298,305
2020-12-16T00:00:00.000Z,5.22,40,15.43,11.82,28.66,9.507,313
2020-12-17T00:00:00.000Z,7.93,35.42,15.19,11.27,21.7,6.874,274
2020-12-18T00:00:00.000Z,12.65,49.2,18.2,15.14,30.69,8.949,304
2020-12-19T00:00:00.000Z,10.27,39.08,15.75,13.15,25.84,8.254,289
2020-12-20T00:00:00.000Z,11.88,37.79,17.6,15.47,28.84,7.177,305
2020-12-21T00:00:00.000Z,7.4,37.67,22.71,16.3,26.8,6.856,298
2020-12-22T00:00:00.000Z,4.75,42.2,24.15,18.5,29.39,9.095,221
2020-12-23T00:00:00.000Z,7,44.72,18.16,16.01,23.22,6.806,304
2020-12-24T00:00:00.000Z,0.63,19,7.93,1.49,10.15,5.029,285
2020-12-25T00:00:00.000Z,0.6,6.45,2.52,1.98,3.17,0.943,307
